station_id,station_name,latitude,longitude,date,variable,value,unit,timestamp_extraction
0PU07,TRIONFO,41.347221,15.744167,2026-06-03,rh_max_daily,92.0,%,2026-06-04T07:10:00.566652
0PU07,TRIONFO,41.347221,15.744167,2026-06-03,rh_mean_daily,65.0,%,2026-06-04T07:09:59.546881
0PU07,TRIONFO,41.347221,15.744167,2026-06-03,rh_min_daily,39.0,%,2026-06-04T07:09:58.271857
0PU07,TRIONFO,41.347221,15.744167,2026-06-03,rs_sum_daily,14266.0,W/m²,2026-06-04T07:10:03.059959
0PU07,TRIONFO,41.347221,15.744167,2026-06-03,tair_max_daily,32.4,°C,2026-06-04T07:09:57.318702
0PU07,TRIONFO,41.347221,15.744167,2026-06-03,tair_mean_daily,23.8,°C,2026-06-04T07:09:56.363425
0PU07,TRIONFO,41.347221,15.744167,2026-06-03,tair_min_daily,15.6,°C,2026-06-04T07:09:55.404020
0PU07,TRIONFO,41.347221,15.744167,2026-06-03,ws_max_daily,7.5,m/s,2026-06-04T07:10:05.666700
0PU07,TRIONFO,41.347221,15.744167,2026-06-03,ws_max_daily,15.0,m/s,2026-06-04T07:10:05.666703
0PU07,TRIONFO,41.347221,15.744167,2026-06-03,ws_mean_daily,0.7,m/s,2026-06-04T07:10:04.544499
0PU07,TRIONFO,41.347221,15.744167,2026-06-03,ws_mean_daily,3.1,m/s,2026-06-04T07:10:04.544504
0PU08,TORRETTA,41.542221,15.173889,2026-06-03,precip_sum_daily,0.2,mm,2026-06-04T07:10:02.076117
0PU08,TORRETTA,41.542221,15.173889,2026-06-03,rh_max_daily,86.0,%,2026-06-04T07:10:00.566655
0PU08,TORRETTA,41.542221,15.173889,2026-06-03,rh_mean_daily,70.0,%,2026-06-04T07:09:59.546885
0PU08,TORRETTA,41.542221,15.173889,2026-06-03,rh_min_daily,45.0,%,2026-06-04T07:09:58.271861
0PU08,TORRETTA,41.542221,15.173889,2026-06-03,rs_sum_daily,10537.0,W/m²,2026-06-04T07:10:03.059963
0PU08,TORRETTA,41.542221,15.173889,2026-06-03,tair_max_daily,28.2,°C,2026-06-04T07:09:57.318705
0PU08,TORRETTA,41.542221,15.173889,2026-06-03,tair_mean_daily,20.9,°C,2026-06-04T07:09:56.363467
0PU08,TORRETTA,41.542221,15.173889,2026-06-03,tair_min_daily,14.7,°C,2026-06-04T07:09:55.404026
