station_id,station_name,latitude,longitude,datetime_local,variable,value,unit,timestamp_utc_extraction
0PU11,BADESSA,40.470554,18.097221,2026-05-21 05:00:00,tair_hourly,16.5,°C,2026-05-21T08:05:02.582865
0PU11,BADESSA,40.470554,18.097221,2026-05-21 05:00:00,ws_10m_hourly,4.3,m/s,2026-05-21T08:05:11.829506
0PU11,BADESSA,40.470554,18.097221,2026-05-21 05:00:00,ws_2m_hourly,2.5,m/s,2026-05-21T08:05:11.829503
0PU12,CONTE,39.981945,18.067499,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.143170
0PU12,CONTE,39.981945,18.067499,2026-05-21 05:00:00,rh_hourly,73.0,%,2026-05-21T08:05:03.964899
0PU12,CONTE,39.981945,18.067499,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235246
0PU12,CONTE,39.981945,18.067499,2026-05-21 05:00:00,tair_hourly,15.6,°C,2026-05-21T08:05:02.582877
0PU12,CONTE,39.981945,18.067499,2026-05-21 05:00:00,ws_10m_hourly,3.0,m/s,2026-05-21T08:05:11.829634
0PU12,CONTE,39.981945,18.067499,2026-05-21 05:00:00,ws_2m_hourly,0.6,m/s,2026-05-21T08:05:11.829631
0PU13,TORRICELLA,40.343334,17.487778,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.143232
0PU13,TORRICELLA,40.343334,17.487778,2026-05-21 05:00:00,rh_hourly,64.0,%,2026-05-21T08:05:03.964911
0PU13,TORRICELLA,40.343334,17.487778,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235259
0PU13,TORRICELLA,40.343334,17.487778,2026-05-21 05:00:00,tair_hourly,17.0,°C,2026-05-21T08:05:02.582889
0PU13,TORRICELLA,40.343334,17.487778,2026-05-21 05:00:00,ws_10m_hourly,6.2,m/s,2026-05-21T08:05:11.829765
0PU13,TORRICELLA,40.343334,17.487778,2026-05-21 05:00:00,ws_2m_hourly,3.5,m/s,2026-05-21T08:05:11.829762
0PU14,TAFURI,40.680832,16.867779,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.143296
0PU14,TAFURI,40.680832,16.867779,2026-05-21 05:00:00,rh_hourly,73.0,%,2026-05-21T08:05:03.964927
0PU14,TAFURI,40.680832,16.867779,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235274
0PU14,TAFURI,40.680832,16.867779,2026-05-21 05:00:00,tair_hourly,12.9,°C,2026-05-21T08:05:02.582910
