Data,BF_Precipitazione (mm),BF_Temperatura 2 Metri (°C),BF_Umidità 2 Metri (%),DV_Precipitazione (mm),DV_Temperatura 2 Metri (°C),DV_Umidità 2 Metri (%),EL_Precipitazione (mm),EL_Temperatura 2 Metri (°C),EL_Umidità 2 Metri (%),PC_Precipitazione (mm),PC_Temperatura 2 Metri (°C),PC_Umidità 2 Metri (%),PA_Precipitazione (mm),PA_Temperatura 2 Metri (°C),PA_Umidità 2 Metri (%),RG_Precipitazione (mm),RG_Temperatura 2 Metri (°C),RG_Umidità 2 Metri (%),TA_Precipitazione (mm),TA_Temperatura 2 Metri (°C),TA_Umidità 2 Metri (%),TB_Precipitazione (mm),TB_Temperatura 2 Metri (°C),TB_Umidità 2 Metri (%),TC_Precipitazione (mm),TC_Temperatura 2 Metri (°C),TC_Umidità 2 Metri (%),TS_Precipitazione (mm),TS_Temperatura 2 Metri (°C),TS_Umidità 2 Metri (%),UC_Precipitazione (mm),UC_Temperatura 2 Metri (°C),UC_Umidità 2 Metri (%),VA_Precipitazione (mm),VA_Temperatura 2 Metri (°C),VA_Umidità 2 Metri (%),VB_Precipitazione (mm),VB_Temperatura 2 Metri (°C),VB_Umidità 2 Metri (%),station_id,station_name,timestamp_utc,timestamp_local,US_Precipitazione (mm),US_Temperatura 2 Metri (°C),US_Umidità 2 Metri (%),DB_Precipitazione (mm),DB_Temperatura 2 Metri (°C),DB_Umidità 2 Metri (%)
20/05/2026,0 mm,14.5 °C,91 %,0 mm,14.5 °C,91 %,0 mm,14.5 °C,91 %,0 mm,14.5 °C,91 %,0 mm,14.5 °C,91 %,0 mm,14.5 °C,91 %,0 mm,14.5 °C,91 %,0 mm,14.5 °C,91 %,0 mm,14.5 °C,91 %,0 mm,14.5 °C,91 %,0 mm,14.5 °C,91 %,0 mm,14.5 °C,91 %,0 mm,14.5 °C,91 %,0PU43,LUCUGNANO,2026-05-20T15:41:10.312658,2026-05-20T15:41:10.312670,,,,,,
20/05/2026,0 mm,14.8 °C,63 %,0 mm,14.8 °C,63 %,0 mm,14.8 °C,63 %,0 mm,14.8 °C,63 %,0 mm,14.8 °C,63 %,0 mm,14.8 °C,63 %,0 mm,14.8 °C,63 %,0 mm,14.8 °C,63 %,0 mm,14.8 °C,63 %,0 mm,14.8 °C,63 %,0 mm,14.8 °C,63 %,0 mm,14.8 °C,63 %,0 mm,14.8 °C,63 %,0PU44,MANDURIA,2026-05-20T15:41:16.288299,2026-05-20T15:41:16.288311,,,,,,
20/05/2026,0 mm,13 °C,72 %,0 mm,13 °C,72 %,0 mm,13 °C,72 %,0 mm,13 °C,72 %,0 mm,13 °C,72 %,0 mm,13 °C,72 %,0 mm,13 °C,72 %,0 mm,13 °C,72 %,0 mm,13 °C,72 %,0 mm,13 °C,72 %,0 mm,13 °C,72 %,0 mm,13 °C,72 %,0 mm,13 °C,72 %,0PU45,MOTTOLA,2026-05-20T15:41:22.561665,2026-05-20T15:41:22.561677,,,,,,
20/05/2026,0 mm,12.2 °C,78 %,0 mm,12.2 °C,78 %,0 mm,12.2 °C,78 %,0 mm,12.2 °C,78 %,0 mm,12.2 °C,78 %,0 mm,12.2 °C,78 %,0 mm,12.2 °C,78 %,0 mm,12.2 °C,78 %,0 mm,12.2 °C,78 %,0 mm,12.2 °C,78 %,0 mm,12.2 °C,78 %,0 mm,12.2 °C,78 %,0 mm,12.2 °C,78 %,0PU46,MASSAFRA,2026-05-20T15:41:28.557008,2026-05-20T15:41:28.557020,,,,,,
20/05/2026,0 mm,15.1 °C,57 %,0 mm,15.1 °C,57 %,0 mm,15.1 °C,57 %,0 mm,15.1 °C,57 %,0 mm,15.1 °C,57 %,0 mm,15.1 °C,57 %,0 mm,15.1 °C,57 %,0 mm,15.1 °C,57 %,0 mm,15.1 °C,57 %,0 mm,15.1 °C,57 %,0 mm,15.1 °C,57 %,0 mm,15.1 °C,57 %,0 mm,15.1 °C,57 %,0PU47,CASTELLANETA,2026-05-20T15:41:34.527981,2026-05-20T15:41:34.527993,,,,,,
20/05/2026,0 mm,16.9 °C,64 %,0 mm,16.9 °C,64 %,0 mm,16.9 °C,64 %,0 mm,16.9 °C,64 %,0 mm,16.9 °C,64 %,0 mm,16.9 °C,64 %,0 mm,16.9 °C,64 %,0 mm,16.9 °C,64 %,0 mm,16.9 °C,64 %,0 mm,16.9 °C,64 %,0 mm,16.9 °C,64 %,0 mm,16.9 °C,64 %,0 mm,16.9 °C,64 %,0PU48,BARI C.N.R. IRSA,2026-05-20T15:41:40.871299,2026-05-20T15:41:40.871310,0 mm,16.9 °C,64 %,,,
20/05/2026,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0PU49,LOCOROTONDO ITAS,2026-05-20T15:41:47.216327,2026-05-20T15:41:47.216338,0 mm,13.4 °C,70 %,,,
20/05/2026,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0 mm,13.4 °C,70 %,0PU53,TORITTO,2026-05-20T15:41:59.091143,2026-05-20T15:41:59.091154,0 mm,13.4 °C,70 %,,,
20/05/2026,0 mm,14 °C,70 %,0 mm,14 °C,70 %,0 mm,14 °C,70 %,0 mm,14 °C,70 %,0 mm,14 °C,70 %,0 mm,14 °C,70 %,0 mm,14 °C,70 %,0 mm,14 °C,70 %,0 mm,14 °C,70 %,0 mm,14 °C,70 %,0 mm,14 °C,70 %,0 mm,14 °C,70 %,0 mm,14 °C,70 %,0PU54,TORRE SANTA SUSANNA,2026-05-20T15:42:05.663797,2026-05-20T15:42:05.663808,0 mm,14 °C,70 %,,,
20/05/2026,0 mm,14.6 °C,81 %,0 mm,14.6 °C,81 %,0 mm,14.6 °C,81 %,0 mm,14.6 °C,81 %,0 mm,14.6 °C,81 %,0 mm,14.6 °C,81 %,0 mm,14.6 °C,81 %,0 mm,14.6 °C,81 %,0 mm,14.6 °C,81 %,0 mm,14.6 °C,81 %,0 mm,14.6 °C,81 %,0 mm,14.6 °C,81 %,0 mm,14.6 °C,81 %,0PU55,LESINA-RIPALTA,2026-05-20T15:42:11.917241,2026-05-20T15:42:11.917251,0 mm,14.6 °C,81 %,,,
20/05/2026,0 mm,11.9 °C,78 %,0 mm,11.9 °C,78 %,0 mm,11.9 °C,78 %,0 mm,11.9 °C,78 %,0 mm,11.9 °C,78 %,0 mm,11.9 °C,78 %,0 mm,11.9 °C,78 %,0 mm,11.9 °C,78 %,0 mm,11.9 °C,78 %,0 mm,11.9 °C,78 %,0 mm,11.9 °C,78 %,0 mm,11.9 °C,78 %,0 mm,11.9 °C,78 %,0PU56,CARLANTINO,2026-05-20T15:42:18.173866,2026-05-20T15:42:18.173877,0 mm,11.9 °C,78 %,,,
20/05/2026,0 mm,11.1 °C,91 %,0 mm,11.1 °C,91 %,0 mm,11.1 °C,91 %,0 mm,11.1 °C,91 %,0 mm,11.1 °C,91 %,0 mm,11.1 °C,91 %,0 mm,11.1 °C,91 %,0 mm,11.1 °C,91 %,0 mm,11.1 °C,91 %,0 mm,11.1 °C,91 %,0 mm,11.1 °C,91 %,0 mm,11.1 °C,91 %,0 mm,11.1 °C,91 %,0PU57,SANT'AGATA DI PUGLIA,2026-05-20T15:42:24.460302,2026-05-20T15:42:24.460311,0 mm,11.1 °C,91 %,,,
20/05/2026,0 mm,16 °C,65 %,0 mm,16 °C,65 %,0 mm,16 °C,65 %,0 mm,16 °C,65 %,0 mm,16 °C,65 %,0 mm,16 °C,65 %,0 mm,16 °C,65 %,0 mm,16 °C,65 %,0 mm,16 °C,65 %,0 mm,16 °C,65 %,0 mm,16 °C,65 %,0 mm,16 °C,65 %,0 mm,16 °C,65 %,0PU58,GINOSA,2026-05-20T15:42:30.758973,2026-05-20T15:42:30.758984,0 mm,16 °C,65 %,,,
20/05/2026,0 mm,14.3 °C,69 %,0 mm,14.3 °C,69 %,0 mm,14.3 °C,69 %,0 mm,14.3 °C,69 %,0 mm,14.3 °C,69 %,0 mm,14.3 °C,69 %,0 mm,14.3 °C,69 %,0 mm,14.3 °C,69 %,0 mm,14.3 °C,69 %,0 mm,14.3 °C,69 %,0 mm,14.3 °C,69 %,0 mm,14.3 °C,69 %,0 mm,14.3 °C,69 %,0PU59,PALAGIANELLO,2026-05-20T15:42:37.018171,2026-05-20T15:42:37.018181,0 mm,14.3 °C,69 %,,,
20/05/2026,0 mm,15.4 °C,92 %,0 mm,15.4 °C,92 %,0 mm,15.4 °C,92 %,0 mm,15.4 °C,92 %,0 mm,15.4 °C,92 %,0 mm,15.4 °C,92 %,0 mm,15.4 °C,92 %,0 mm,15.4 °C,92 %,0 mm,15.4 °C,92 %,0 mm,15.4 °C,92 %,0 mm,15.4 °C,92 %,0 mm,15.4 °C,92 %,0 mm,15.4 °C,92 %,0PU60,MINERVINO DI LECCE,2026-05-20T15:42:43.593336,2026-05-20T15:42:43.593345,0 mm,15.4 °C,92 %,,,
20/05/2026,0 mm,14 °C,91 %,0 mm,14 °C,91 %,0 mm,14 °C,91 %,0 mm,14 °C,91 %,0 mm,14 °C,91 %,0 mm,14 °C,91 %,0 mm,14 °C,91 %,0 mm,14 °C,91 %,0 mm,14 °C,91 %,0 mm,14 °C,91 %,0 mm,14 °C,91 %,0 mm,14 °C,91 %,0 mm,14 °C,91 %,0PU61,NARDO',2026-05-20T15:42:49.846282,2026-05-20T15:42:49.846292,0 mm,14 °C,91 %,,,
20/05/2026,0 mm,12.3 °C,89 %,,,,,,,0 mm,12.3 °C,89 %,,,,,,,,,,,,,0 mm,12.3 °C,89 %,,,,0 mm,12.3 °C,89 %,,,,0 mm,12.3 °C,89 %,MBA20,IPSAA,2026-05-20T15:42:52.893975,2026-05-20T15:42:52.893987,,,,0 mm,12.3 °C,89 %
20/05/2026,0 mm,13.1 °C,78 %,,,,,,,0 mm,13.1 °C,78 %,,,,,,,,,,,,,0 mm,13.1 °C,78 %,,,,0 mm,13.1 °C,78 %,,,,0 mm,13.1 °C,78 %,MBA21,MONTEGROSSO,2026-05-20T15:42:55.937920,2026-05-20T15:42:55.937933,,,,0 mm,13.1 °C,78 %
20/05/2026,0 mm,13 °C,71 %,,,,,,,0 mm,13 °C,71 %,,,,,,,,,,,,,0 mm,13 °C,71 %,,,,0 mm,13 °C,71 %,,,,0 mm,13 °C,71 %,MBA22,S.P. SANTERAMO,2026-05-20T15:42:58.978165,2026-05-20T15:42:58.978176,,,,0 mm,13 °C,71 %
20/05/2026,0 mm,14.4 °C,70 %,,,,,,,0 mm,14.4 °C,70 %,,,,,,,,,,,,,0 mm,14.4 °C,70 %,,,,0 mm,14.4 °C,70 %,,,,0 mm,14.4 °C,70 %,MBA24,CASSANO DELLE MURGE,2026-05-20T15:43:04.726201,2026-05-20T15:43:04.726212,,,,0 mm,14.4 °C,70 %
20/05/2026,0 mm,12.6 °C,67 %,,,,,,,0 mm,12.6 °C,67 %,,,,,,,,,,,,,0 mm,12.6 °C,67 %,,,,0 mm,12.6 °C,67 %,,,,0 mm,12.6 °C,67 %,MBA25,SANTERAMO IN COLLE,2026-05-20T15:43:07.767304,2026-05-20T15:43:07.767317,,,,0 mm,12.6 °C,67 %
20/05/2026,0 mm,13.5 °C,83 %,,,,,,,0 mm,13.5 °C,83 %,,,,,,,,,,,,,0 mm,13.5 °C,83 %,,,,0 mm,13.5 °C,83 %,,,,0 mm,13.5 °C,83 %,MBA26,CAMPO SPER. UNIBA,2026-05-20T15:43:10.811606,2026-05-20T15:43:10.811617,,,,0 mm,13.5 °C,83 %
20/05/2026,0 mm,13.2 °C,78 %,,,,,,,0 mm,13.2 °C,78 %,,,,,,,,,,,,,0 mm,13.2 °C,78 %,,,,0 mm,13.2 °C,78 %,,,,0 mm,13.2 °C,78 %,MBA27,SERRONE(AZ.AGR.MANCINI),2026-05-20T15:43:13.855649,2026-05-20T15:43:13.855661,,,,0 mm,13.2 °C,78 %
20/05/2026,0 mm,12.1 °C,79 %,,,,,,,0 mm,12.1 °C,79 %,,,,,,,,,,,,,0 mm,12.1 °C,79 %,,,,0 mm,12.1 °C,79 %,,,,0 mm,12.1 °C,79 %,MBA28,MURGIA ANTICI,2026-05-20T15:43:16.900989,2026-05-20T15:43:16.901000,,,,0 mm,12.1 °C,79 %
20/05/2026,0 mm,12.1 °C,79 %,,,,,,,0 mm,12.1 °C,79 %,,,,,,,,,,,,,0 mm,12.1 °C,79 %,,,,0 mm,12.1 °C,79 %,,,,0 mm,12.1 °C,79 %,MBA29,LAMENDOLA I,2026-05-20T15:43:19.946834,2026-05-20T15:43:19.946846,,,,0 mm,12.1 °C,79 %
20/05/2026,0 mm,17 °C,60 %,,,,,,,0 mm,17 °C,60 %,,,,,,,,,,,,,0 mm,17 °C,60 %,,,,0 mm,17 °C,60 %,,,,0 mm,17 °C,60 %,MBR30,FASCIANELLO,2026-05-20T15:43:22.981763,2026-05-20T15:43:22.981774,,,,0 mm,17 °C,60 %
20/05/2026,0 mm,12.4 °C,77 %,,,,,,,0 mm,12.4 °C,77 %,,,,,,,,,,,,,0 mm,12.4 °C,77 %,,,,0 mm,12.4 °C,77 %,,,,0 mm,12.4 °C,77 %,MBR31,FERRUZZO,2026-05-20T15:43:26.370581,2026-05-20T15:43:26.370593,,,,0 mm,12.4 °C,77 %
20/05/2026,0 mm,9.8 °C,85 %,,,,,,,0 mm,9.8 °C,85 %,,,,,,,,,,,,,0 mm,9.8 °C,85 %,,,,0 mm,9.8 °C,85 %,,,,0 mm,9.8 °C,85 %,MFG01,S. LUCIA,2026-05-20T15:43:29.478168,2026-05-20T15:43:29.478180,,,,0 mm,9.8 °C,85 %
20/05/2026,0 mm,12.5 °C,69 %,,,,,,,0 mm,12.5 °C,69 %,,,,,,,,,,,,,0 mm,12.5 °C,69 %,,,,0 mm,12.5 °C,69 %,,,,0 mm,12.5 °C,69 %,MFG02,SERRA DEI BISI,2026-05-20T15:43:32.583755,2026-05-20T15:43:32.583767,,,,0 mm,12.5 °C,69 %
20/05/2026,0 mm,12.3 °C,90 %,,,,,,,0 mm,12.3 °C,90 %,,,,,,,,,,,,,0 mm,12.3 °C,90 %,,,,0 mm,12.3 °C,90 %,,,,0 mm,12.3 °C,90 %,MFG03,LA PESCIA,2026-05-20T15:43:35.691690,2026-05-20T15:43:35.691701,,,,0 mm,12.3 °C,90 %
20/05/2026,0 mm,13.9 °C,84 %,,,,,,,0 mm,13.9 °C,84 %,,,,,,,,,,,,,0 mm,13.9 °C,84 %,,,,0 mm,13.9 °C,84 %,,,,0 mm,13.9 °C,84 %,MFG04,TRE SANTI,2026-05-20T15:43:38.798797,2026-05-20T15:43:38.798809,,,,0 mm,13.9 °C,84 %
20/05/2026,0 mm,,76 %,,,,,,,0 mm,,76 %,,,,,,,,,,,,,0 mm,,76 %,,,,0 mm,,76 %,,,,0 mm,,76 %,MFG05,RIVOLI,2026-05-20T15:43:41.886418,2026-05-20T15:43:41.886429,,,,0 mm,,76 %
